"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","hidden_layers","learning_rate","method","metric.goal","metric.name","optimizer","parameters.activation_functions","parameters.hidden_layerss","parameters.learning_rates","parameters.optimizers","Epoch","Train Loss","Train MSE","Train R-squared","Train RMSE","Validation Loss","Validation MSE","Validation R-squared","Validation RMSE"
"graceful-sweep-30","","finished","-","","","2024-10-13T08:02:14.000Z","20","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","97.98622723366816","4.400788295380077","0.9493425133445672","2.097805590463539","14.816830818277952","14.816830818277952","0.765899799480727","3.849263672220695"
"earnest-sweep-29","","finished","-","","","2024-10-13T08:01:47.000Z","21","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","102.2884616022068","3.682338796901157","0.9576125875764964","1.9189421035823768","12.393118235233356","12.393118235233356","0.8041935215762708","3.5203860917850127"
"bright-sweep-28","","finished","-","","","2024-10-13T08:01:20.000Z","25","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","108.17795585503283","4.997205052776797","0.942477158344278","2.235442920939114","10.648697118319774","10.648697118319774","0.8317547010395445","3.263234150090945"
"stellar-sweep-27","","finished","-","","","2024-10-13T08:00:48.000Z","26","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","90.58707855678914","4.441587031577592","0.9488728789755032","2.107507302852731","12.858492312381644","12.858492312381644","0.7968407910151245","3.5858739956085524"
"devout-sweep-26","","finished","-","","","2024-10-13T08:00:16.000Z","26","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","96.10242025292658","4.159167225885413","0.9521238141666146","2.039403644668071","11.430178319966206","11.430178319966206","0.8194076000804249","3.3808546730029976"
"swift-sweep-25","","finished","-","","","2024-10-13T07:59:50.000Z","20","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","102.89342508008568","4.304691447863732","0.950448684431188","2.07477503548306","13.369181592834645","13.369181592834645","0.7887720977551859","3.6563891467997007"
"efficient-sweep-24","","finished","-","","","2024-10-13T07:59:23.000Z","24","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","111.62146608499958","4.193519218725217","0.9517283882787806","2.04780839404599","15.782511334492296","15.782511334492296","0.7506424205407947","3.972720898136729"
"clear-sweep-23","","finished","-","","","2024-10-13T07:58:56.000Z","20","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","105.9956874247814","4.342042063370142","0.950018741389262","2.0837567188542288","13.218596962894512","13.218596962894512","0.7911512767102846","3.6357388469050567"
"dazzling-sweep-22","","finished","-","","","2024-10-13T07:58:24.000Z","28","x5gn1f5a","tanh","[18,9]","0.001","","","","sgd","","","","","1000","104.782263355475","0.6682445601024468","0.9923078349573206","0.8174622683050556","16.02231970370784","16.02231970370784","0.7468535409883397","4.002788990654871"
"brisk-sweep-21","","finished","-","","","2024-10-13T07:58:08.000Z","11","x5gn1f5a","tanh","[18,9]","0.01","","","","mini_batch","","","","","1000","0.9138174240449628","0.9134770690756232","0.9894849628451065","0.955759943226134","16.85244673184569","16.85244673184569","0.7337378547712972","4.105173167096083"
